record_id,product,warehouse,date,current_stock_level,normal_stock_level,reorder_point,daily_demand,days_of_supply,stock_status,disruption_type
INV-0055,Laundry Detergent,WH-Atlanta,2026-04-30,121,704,211,118,1.0,LOW,demand_spike
INV-0056,Frozen Pizza,WH-Newark,2026-05-09,540,624,187,51,10.6,NORMAL,none
INV-0057,Shampoo,WH-LA,2026-04-26,1108,1828,548,38,29.2,NORMAL,none
INV-0058,Sports Drink,WH-Atlanta,2026-05-06,655,1008,302,29,22.6,NORMAL,none
INV-0059,Laundry Detergent,WH-Chicago,2026-04-24,196,361,108,48,4.1,NORMAL,none
INV-0060,Laundry Detergent,WH-LA,2026-04-21,667,1303,390,55,12.1,NORMAL,none
INV-0061,Laundry Detergent,WH-Dallas,2026-04-18,665,1401,420,35,19.0,NORMAL,none
INV-0062,Organic Cereal,WH-Atlanta,2026-04-22,117,307,92,46,2.5,NORMAL,none
INV-0063,Shampoo,WH-LA,2026-04-18,146,481,144,55,2.7,NORMAL,none
INV-0064,Baby Formula,WH-LA,2026-05-05,1573,1998,599,50,31.5,NORMAL,none
INV-0065,Frozen Pizza,WH-Newark,2026-04-25,292,321,96,25,11.7,NORMAL,none
INV-0066,Bottled Water,WH-Dallas,2026-05-02,658,1941,582,31,21.2,NORMAL,none
INV-0067,Canned Soup,WH-Dallas,2026-05-14,1386,1912,573,51,27.2,NORMAL,none
INV-0068,Baby Formula,WH-Newark,2026-05-13,26,811,243,48,0.5,CRITICAL,raw_material_shortage
INV-0069,Snack Bars,WH-Atlanta,2026-05-01,400,474,142,49,8.2,NORMAL,none
INV-0070,Laundry Detergent,WH-Dallas,2026-05-10,132,532,159,112,1.2,LOW,demand_spike
INV-0071,Baby Formula,WH-Chicago,2026-05-08,438,804,241,31,14.1,NORMAL,none
INV-0072,Bottled Water,WH-LA,2026-05-11,349,871,261,45,7.8,NORMAL,none
INV-0073,Sports Drink,WH-Dallas,2026-04-19,215,708,212,36,6.0,NORMAL,none
INV-0074,Canned Soup,WH-Dallas,2026-04-29,571,875,262,57,10.0,NORMAL,none
INV-0075,Bottled Water,WH-Chicago,2026-04-23,968,1618,485,23,42.1,NORMAL,none
INV-0076,Sports Drink,WH-LA,2026-04-24,138,1605,481,95,1.5,LOW,demand_spike
INV-0077,Laundry Detergent,WH-Newark,2026-05-04,385,473,141,29,13.3,NORMAL,none
INV-0078,Snack Bars,WH-Atlanta,2026-04-26,879,1324,397,54,16.3,NORMAL,none
INV-0079,Frozen Pizza,WH-Dallas,2026-05-06,763,1988,596,53,14.4,NORMAL,none
INV-0080,Snack Bars,WH-Atlanta,2026-05-07,520,1355,406,23,22.6,NORMAL,none
INV-0081,Pet Food,WH-Atlanta,2026-04-21,235,506,151,40,5.9,NORMAL,none
INV-0082,Pet Food,WH-LA,2026-04-18,1501,1668,500,25,60.0,NORMAL,none
INV-0083,Pet Food,WH-LA,2026-05-10,108,470,141,152,0.7,LOW,demand_spike
INV-0084,Organic Cereal,WH-Atlanta,2026-04-29,271,831,249,45,6.0,NORMAL,none
INV-0085,Laundry Detergent,WH-Chicago,2026-05-08,115,349,104,47,2.4,NORMAL,none
INV-0086,Shampoo,WH-Chicago,2026-05-02,341,341,102,50,6.8,NORMAL,none
INV-0087,Organic Cereal,WH-Newark,2026-04-28,97,477,143,194,0.5,LOW,demand_spike
INV-0088,Canned Soup,WH-LA,2026-05-12,675,973,291,25,27.0,NORMAL,none
INV-0089,Pet Food,WH-Dallas,2026-05-05,223,442,132,54,4.1,NORMAL,none
INV-0090,Canned Soup,WH-Atlanta,2026-04-19,623,656,196,20,31.1,NORMAL,none
INV-0091,Organic Cereal,WH-Newark,2026-04-29,828,1315,394,54,15.3,NORMAL,none
INV-0092,Canned Soup,WH-Dallas,2026-04-22,296,517,155,32,9.2,NORMAL,none
INV-0093,Sports Drink,WH-Chicago,2026-05-10,1221,1459,437,21,58.1,NORMAL,none
INV-0094,Frozen Pizza,WH-Dallas,2026-04-17,126,268,80,166,0.8,NORMAL,demand_spike
INV-0095,Organic Cereal,WH-Dallas,2026-05-08,39,1098,329,43,0.9,CRITICAL,raw_material_shortage
INV-0096,Organic Cereal,WH-Dallas,2026-05-01,620,679,203,56,11.1,NORMAL,none
INV-0097,Shampoo,WH-Atlanta,2026-05-04,1218,1876,562,35,34.8,NORMAL,none
INV-0098,Laundry Detergent,WH-Dallas,2026-05-06,620,1046,313,37,16.8,NORMAL,none
INV-0099,Organic Cereal,WH-Atlanta,2026-05-15,869,1705,511,60,14.5,NORMAL,none
INV-0100,Canned Soup,WH-Atlanta,2026-04-30,150,905,271,147,1.0,LOW,demand_spike
INV-0101,Shampoo,WH-LA,2026-04-28,39,970,291,60,0.7,CRITICAL,raw_material_shortage
INV-0102,Frozen Pizza,WH-Dallas,2026-04-24,385,495,148,23,16.7,NORMAL,none
INV-0103,Pet Food,WH-LA,2026-05-15,522,1285,385,44,11.9,NORMAL,none
INV-0104,Frozen Pizza,WH-Newark,2026-04-21,344,361,108,48,7.2,NORMAL,none
INV-0105,Shampoo,WH-Chicago,2026-05-02,203,590,177,37,5.5,NORMAL,none
INV-0106,Canned Soup,WH-Atlanta,2026-05-04,40,349,104,43,0.9,CRITICAL,raw_material_shortage
INV-0107,Snack Bars,WH-Dallas,2026-05-12,261,820,246,33,7.9,NORMAL,none
INV-0108,Frozen Pizza,WH-Chicago,2026-05-08,602,1180,354,58,10.4,NORMAL,none
INV-0109,Frozen Pizza,WH-LA,2026-05-14,546,858,257,44,12.4,NORMAL,none
INV-0110,Snack Bars,WH-Atlanta,2026-05-05,588,735,220,52,11.3,NORMAL,none
INV-0111,Snack Bars,WH-LA,2026-04-18,1464,1679,503,40,36.6,NORMAL,none
INV-0112,Frozen Pizza,WH-Newark,2026-04-25,1289,1352,405,34,37.9,NORMAL,none
INV-0113,Baby Formula,WH-Chicago,2026-04-23,1011,1396,418,46,22.0,NORMAL,none
INV-0114,Laundry Detergent,WH-Dallas,2026-04-21,876,977,293,35,25.0,NORMAL,none
INV-0115,Snack Bars,WH-Atlanta,2026-05-05,530,891,267,51,10.4,NORMAL,none
INV-0116,Snack Bars,WH-LA,2026-04-20,449,921,276,28,16.0,NORMAL,none
INV-0117,Pet Food,WH-LA,2026-04-20,1050,1310,393,23,45.7,NORMAL,none
INV-0118,Pet Food,WH-Chicago,2026-05-11,661,1875,562,20,33.0,NORMAL,none
INV-0119,Canned Soup,WH-Dallas,2026-05-11,282,339,101,29,9.7,NORMAL,none
INV-0120,Organic Cereal,WH-Dallas,2026-05-01,254,323,96,60,4.2,NORMAL,none
INV-0121,Bottled Water,WH-LA,2026-05-06,199,213,63,55,3.6,NORMAL,none
INV-0122,Canned Soup,WH-Chicago,2026-04-15,521,762,228,21,24.8,NORMAL,none
INV-0123,Pet Food,WH-LA,2026-05-10,224,567,170,26,8.6,NORMAL,none
INV-0124,Pet Food,WH-Dallas,2026-04-22,95,1278,383,114,0.8,LOW,demand_spike
INV-0125,Canned Soup,WH-Chicago,2026-04-26,920,1140,342,35,26.3,NORMAL,none
INV-0126,Frozen Pizza,WH-Newark,2026-05-06,125,365,109,25,5.0,NORMAL,none
INV-0127,Canned Soup,WH-LA,2026-04-27,257,314,94,20,12.8,NORMAL,none
INV-0128,Baby Formula,WH-Chicago,2026-04-30,1134,1520,456,56,20.2,NORMAL,none
INV-0129,Sports Drink,WH-Atlanta,2026-05-14,84,632,189,85,1.0,LOW,demand_spike
INV-0130,Sports Drink,WH-Newark,2026-05-13,531,1547,464,31,17.1,NORMAL,none
INV-0131,Shampoo,WH-Chicago,2026-05-15,351,495,148,24,14.6,NORMAL,none
INV-0132,Laundry Detergent,WH-Dallas,2026-05-03,1368,1909,572,54,25.3,NORMAL,none
INV-0133,Shampoo,WH-LA,2026-05-09,705,1818,545,52,13.6,NORMAL,none
INV-0134,Shampoo,WH-Chicago,2026-04-18,730,1917,575,41,17.8,NORMAL,none
INV-0135,Bottled Water,WH-Atlanta,2026-05-15,1203,1784,535,21,57.3,NORMAL,none
INV-0136,Laundry Detergent,WH-LA,2026-04-30,783,1332,399,47,16.7,NORMAL,none
INV-0137,Baby Formula,WH-Atlanta,2026-05-06,1138,1781,534,35,32.5,NORMAL,none
INV-0138,Sports Drink,WH-Chicago,2026-04-23,29,1657,497,50,0.6,CRITICAL,raw_material_shortage
INV-0139,Shampoo,WH-Chicago,2026-04-17,96,831,249,177,0.5,LOW,demand_spike
INV-0140,Laundry Detergent,WH-Chicago,2026-04-19,121,1082,324,151,0.8,LOW,demand_spike
INV-0141,Pet Food,WH-LA,2026-04-18,25,924,277,54,0.5,CRITICAL,raw_material_shortage
INV-0142,Organic Cereal,WH-Newark,2026-04-28,235,373,111,56,4.2,NORMAL,none
INV-0143,Pet Food,WH-Dallas,2026-05-06,282,484,145,39,7.2,NORMAL,none
INV-0144,Laundry Detergent,WH-LA,2026-04-19,103,1090,327,118,0.9,LOW,demand_spike
INV-0145,Snack Bars,WH-Chicago,2026-04-26,580,705,211,60,9.7,NORMAL,none
INV-0146,Snack Bars,WH-Atlanta,2026-05-04,24,419,125,30,0.8,CRITICAL,raw_material_shortage
INV-0147,Canned Soup,WH-Newark,2026-05-11,1227,1846,553,48,25.6,NORMAL,none
INV-0148,Shampoo,WH-LA,2026-05-11,737,1533,459,39,18.9,NORMAL,none
INV-0149,Shampoo,WH-Atlanta,2026-05-15,675,1181,354,31,21.8,NORMAL,none
INV-0150,Canned Soup,WH-Newark,2026-04-24,1453,1496,448,56,25.9,NORMAL,none
