report_id,supplier_id,supplier_name,region,date,on_time_delivery_rate,quality_score,defect_rate,orders_fulfilled,orders_delayed,baseline_reliability,disruption_type
SPR-0018,SUP-003,ChemBlend Corp.,Western Europe,2026-05-12,0.83,0.94,0.032,88,0,0.95,none
SPR-0019,SUP-002,PackRight Ltd.,Southeast Asia,2026-04-25,0.41,0.55,0.122,63,19,0.85,quality_defect
SPR-0020,SUP-002,PackRight Ltd.,Southeast Asia,2026-05-03,0.84,0.94,0.028,92,1,0.85,none
SPR-0021,SUP-005,MetalWorks Global,East Asia,2026-04-20,0.83,0.89,0.019,16,2,0.88,none
SPR-0022,SUP-001,AgriSource Inc.,Midwest US,2026-04-30,0.59,0.74,0.105,62,15,0.92,quality_defect
SPR-0023,SUP-004,FreshHarvest Co.,South America,2026-05-07,0.89,0.86,0.002,38,2,0.78,none
SPR-0024,SUP-001,AgriSource Inc.,Midwest US,2026-04-23,0.85,0.96,0.023,73,0,0.92,none
SPR-0025,SUP-005,MetalWorks Global,East Asia,2026-04-18,0.9,0.99,0.022,15,3,0.88,none
SPR-0026,SUP-005,MetalWorks Global,East Asia,2026-04-21,0.82,0.97,0.03,48,0,0.88,none
SPR-0027,SUP-004,FreshHarvest Co.,South America,2026-04-23,0.96,0.91,0.04,40,1,0.78,none
SPR-0028,SUP-005,MetalWorks Global,East Asia,2026-05-07,0.94,0.94,0.007,27,1,0.88,none
SPR-0029,SUP-002,PackRight Ltd.,Southeast Asia,2026-05-10,0.42,0.57,0.108,100,9,0.85,quality_defect
SPR-0030,SUP-003,ChemBlend Corp.,Western Europe,2026-05-03,0.96,0.99,0.027,22,1,0.95,none
SPR-0031,SUP-004,FreshHarvest Co.,South America,2026-05-14,0.4,0.66,0.123,41,4,0.78,supplier_issue
SPR-0032,SUP-003,ChemBlend Corp.,Western Europe,2026-05-11,0.96,0.9,0.007,90,2,0.95,none
SPR-0033,SUP-004,FreshHarvest Co.,South America,2026-04-27,0.92,0.97,0.005,75,2,0.78,none
SPR-0034,SUP-003,ChemBlend Corp.,Western Europe,2026-04-29,0.86,0.85,0.031,21,3,0.95,none
SPR-0035,SUP-003,ChemBlend Corp.,Western Europe,2026-05-12,0.49,0.55,0.099,73,8,0.95,supplier_issue
SPR-0036,SUP-003,ChemBlend Corp.,Western Europe,2026-05-11,0.9,0.87,0.034,53,0,0.95,none
SPR-0037,SUP-001,AgriSource Inc.,Midwest US,2026-04-18,0.96,0.85,0.037,30,3,0.92,none
SPR-0038,SUP-004,FreshHarvest Co.,South America,2026-04-15,0.88,0.99,0.036,93,2,0.78,none
SPR-0039,SUP-002,PackRight Ltd.,Southeast Asia,2026-05-12,0.85,0.94,0.011,57,1,0.85,none
SPR-0040,SUP-001,AgriSource Inc.,Midwest US,2026-04-27,0.94,0.96,0.018,21,0,0.92,none
SPR-0041,SUP-001,AgriSource Inc.,Midwest US,2026-04-21,0.83,0.88,0.028,11,0,0.92,none
SPR-0042,SUP-003,ChemBlend Corp.,Western Europe,2026-05-11,0.6,0.67,0.103,59,2,0.95,supplier_issue
SPR-0043,SUP-001,AgriSource Inc.,Midwest US,2026-04-18,0.97,0.87,0.031,27,1,0.92,none
SPR-0044,SUP-001,AgriSource Inc.,Midwest US,2026-05-01,0.92,0.87,0.015,37,1,0.92,none
SPR-0045,SUP-004,FreshHarvest Co.,South America,2026-05-04,0.96,0.86,0.005,25,3,0.78,none
SPR-0046,SUP-003,ChemBlend Corp.,Western Europe,2026-05-15,0.95,0.88,0.026,41,2,0.95,none
SPR-0047,SUP-001,AgriSource Inc.,Midwest US,2026-05-12,0.97,0.88,0.025,34,3,0.92,none
SPR-0048,SUP-003,ChemBlend Corp.,Western Europe,2026-05-05,0.61,0.74,0.105,40,15,0.95,supplier_issue
SPR-0049,SUP-005,MetalWorks Global,East Asia,2026-04-17,0.99,0.99,0.037,26,3,0.88,none
SPR-0050,SUP-005,MetalWorks Global,East Asia,2026-04-28,0.93,0.96,0.038,19,0,0.88,none
SPR-0051,SUP-005,MetalWorks Global,East Asia,2026-04-17,0.38,0.73,0.145,74,9,0.88,quality_defect
SPR-0052,SUP-005,MetalWorks Global,East Asia,2026-05-09,0.93,0.86,0.022,88,1,0.88,none
SPR-0053,SUP-003,ChemBlend Corp.,Western Europe,2026-04-17,0.9,0.88,0.033,78,2,0.95,none
SPR-0054,SUP-004,FreshHarvest Co.,South America,2026-05-03,0.96,0.95,0.004,99,3,0.78,none
SPR-0055,SUP-002,PackRight Ltd.,Southeast Asia,2026-04-16,0.98,0.87,0.025,17,2,0.85,none
SPR-0056,SUP-002,PackRight Ltd.,Southeast Asia,2026-04-18,0.35,0.5,0.105,76,16,0.85,quality_defect
SPR-0057,SUP-003,ChemBlend Corp.,Western Europe,2026-04-20,0.94,0.97,0.03,25,0,0.95,none
SPR-0058,SUP-003,ChemBlend Corp.,Western Europe,2026-05-10,0.9,0.89,0.039,90,0,0.95,none
SPR-0059,SUP-004,FreshHarvest Co.,South America,2026-04-29,0.81,0.97,0.008,30,2,0.78,none
SPR-0060,SUP-001,AgriSource Inc.,Midwest US,2026-05-13,0.94,0.88,0.021,15,0,0.92,none
SPR-0061,SUP-002,PackRight Ltd.,Southeast Asia,2026-04-16,0.87,0.87,0.037,14,3,0.85,none
SPR-0062,SUP-002,PackRight Ltd.,Southeast Asia,2026-04-25,0.97,0.89,0.033,83,2,0.85,none
SPR-0063,SUP-001,AgriSource Inc.,Midwest US,2026-05-01,0.81,0.88,0.021,15,3,0.92,none
SPR-0064,SUP-001,AgriSource Inc.,Midwest US,2026-05-13,0.85,0.97,0.014,80,3,0.92,none
SPR-0065,SUP-001,AgriSource Inc.,Midwest US,2026-04-26,0.91,0.89,0.025,69,2,0.92,none
SPR-0066,SUP-005,MetalWorks Global,East Asia,2026-04-30,0.95,0.95,0.022,41,1,0.88,none
SPR-0067,SUP-001,AgriSource Inc.,Midwest US,2026-05-14,0.84,0.9,0.034,11,2,0.92,none
SPR-0068,SUP-001,AgriSource Inc.,Midwest US,2026-05-09,0.96,0.95,0.005,77,1,0.92,none
SPR-0069,SUP-004,FreshHarvest Co.,South America,2026-04-30,0.98,0.87,0.012,15,1,0.78,none
SPR-0070,SUP-005,MetalWorks Global,East Asia,2026-04-28,0.87,0.99,0.004,22,1,0.88,none
SPR-0071,SUP-004,FreshHarvest Co.,South America,2026-04-17,0.81,0.94,0.006,47,2,0.78,none
SPR-0072,SUP-003,ChemBlend Corp.,Western Europe,2026-05-14,0.93,0.95,0.013,44,1,0.95,none
SPR-0073,SUP-001,AgriSource Inc.,Midwest US,2026-05-15,0.95,0.93,0.007,31,3,0.92,none
SPR-0074,SUP-004,FreshHarvest Co.,South America,2026-04-25,0.9,0.99,0.009,49,3,0.78,none
SPR-0075,SUP-003,ChemBlend Corp.,Western Europe,2026-05-12,0.36,0.67,0.134,37,10,0.95,supplier_issue
SPR-0076,SUP-002,PackRight Ltd.,Southeast Asia,2026-04-17,0.98,0.91,0.003,48,2,0.85,none
SPR-0077,SUP-002,PackRight Ltd.,Southeast Asia,2026-04-15,0.96,0.93,0.022,22,3,0.85,none
SPR-0078,SUP-001,AgriSource Inc.,Midwest US,2026-05-10,0.82,0.86,0.031,38,1,0.92,none
SPR-0079,SUP-002,PackRight Ltd.,Southeast Asia,2026-05-11,0.93,0.98,0.004,85,2,0.85,none
SPR-0080,SUP-001,AgriSource Inc.,Midwest US,2026-04-15,0.84,0.94,0.033,21,2,0.92,none
SPR-0081,SUP-001,AgriSource Inc.,Midwest US,2026-04-16,0.81,0.98,0.018,60,3,0.92,none
SPR-0082,SUP-001,AgriSource Inc.,Midwest US,2026-04-27,0.83,0.88,0.008,45,3,0.92,none
SPR-0083,SUP-002,PackRight Ltd.,Southeast Asia,2026-04-16,0.92,0.94,0.02,80,3,0.85,none
SPR-0084,SUP-001,AgriSource Inc.,Midwest US,2026-04-17,0.83,0.88,0.036,77,1,0.92,none
SPR-0085,SUP-005,MetalWorks Global,East Asia,2026-05-10,0.43,0.68,0.103,54,18,0.88,quality_defect
SPR-0086,SUP-005,MetalWorks Global,East Asia,2026-04-25,0.83,0.89,0.01,45,0,0.88,none
SPR-0087,SUP-004,FreshHarvest Co.,South America,2026-05-01,0.91,0.88,0.007,41,1,0.78,none
SPR-0088,SUP-003,ChemBlend Corp.,Western Europe,2026-05-02,0.97,0.86,0.04,38,3,0.95,none
SPR-0089,SUP-003,ChemBlend Corp.,Western Europe,2026-05-14,0.96,0.87,0.024,99,2,0.95,none
SPR-0090,SUP-005,MetalWorks Global,East Asia,2026-04-15,0.87,0.93,0.007,34,3,0.88,none
SPR-0091,SUP-005,MetalWorks Global,East Asia,2026-04-24,0.81,0.86,0.024,12,3,0.88,none
SPR-0092,SUP-001,AgriSource Inc.,Midwest US,2026-04-25,0.84,0.87,0.029,51,0,0.92,none
SPR-0093,SUP-001,AgriSource Inc.,Midwest US,2026-04-19,0.97,0.96,0.034,56,0,0.92,none
SPR-0094,SUP-003,ChemBlend Corp.,Western Europe,2026-05-07,0.88,0.86,0.013,27,1,0.95,none
SPR-0095,SUP-004,FreshHarvest Co.,South America,2026-05-10,0.89,0.89,0.029,81,2,0.78,none
SPR-0096,SUP-002,PackRight Ltd.,Southeast Asia,2026-05-06,0.83,0.89,0.028,26,1,0.85,none
SPR-0097,SUP-001,AgriSource Inc.,Midwest US,2026-05-15,0.91,0.97,0.031,82,0,0.92,none
SPR-0098,SUP-002,PackRight Ltd.,Southeast Asia,2026-05-04,0.95,0.94,0.026,23,3,0.85,none
SPR-0099,SUP-002,PackRight Ltd.,Southeast Asia,2026-04-25,0.85,0.99,0.008,21,2,0.85,none
SPR-0100,SUP-004,FreshHarvest Co.,South America,2026-04-15,0.85,0.86,0.011,23,0,0.78,none
